,neighborhood,rent,beds,baths
2265,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3815,0,1.0
2266,"Murray Hill, Midtown Manhattan, Manhattan",3226,2,1.0
2267,"Tribeca, Downtown Manhattan, Manhattan",11500,2,2.0
2268,"East Village, Downtown Manhattan, Manhattan",5000,3,1.0
2269,"Hell's Kitchen, Midtown Manhattan, Manhattan",6195,4,2.0
2270,"Upper East Side, Upper Manhattan, Manhattan",2375,0,1.0
2271,"Alphabet City, East Village, Downtown Manhattan, Manhattan",5995,3,2.0
2272,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3157,1,1.0
2273,"West Village, Downtown Manhattan, Manhattan",3760,0,1.0
2274,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3100,1,1.0
2275,"Theater District, Midtown Manhattan, Manhattan",3600,1,1.0
2276,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",5256,3,2.0
2277,"Upper East Side, Upper Manhattan, Manhattan",2470,2,1.0
2278,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3500,1,1.0
2279,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",7200,4,3.0
2280,"West Village, Downtown Manhattan, Manhattan",5350,2,1.0
2281,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1935,0,1.0
2282,"Hell's Kitchen, Midtown Manhattan, Manhattan",5460,2,2.0
2283,"Murray Hill, Midtown Manhattan, Manhattan",7350,4,2.0
2284,"Hunters Point, Long Island City, Northwestern Queens, Queens",2635,0,1.0
2285,"West Village, Downtown Manhattan, Manhattan",3390,1,1.0
2286,"Financial District, Downtown Manhattan, Manhattan",5678,2,2.0
2287,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3200,0,1.0
2288,"Upper West Side, Upper Manhattan, Manhattan",4995,2,2.0
2289,"Hell's Kitchen, Midtown Manhattan, Manhattan",4695,2,2.0
2290,"Murray Hill, Midtown Manhattan, Manhattan",6875,2,2.0
2291,"West Village, Downtown Manhattan, Manhattan",3400,1,1.0
2292,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",3735,1,1.0
2293,"Battery Park City, Downtown Manhattan, Manhattan",3447,1,1.0
2294,"Hell's Kitchen, Midtown Manhattan, Manhattan",3100,0,1.0
2295,"Hell's Kitchen, Midtown Manhattan, Manhattan",4338,1,1.0
2296,"Upper East Side, Upper Manhattan, Manhattan",3400,3,1.0
2297,"Gramercy Park, Midtown Manhattan, Manhattan",3600,2,1.0
2298,"Theater District, Midtown Manhattan, Manhattan",3210,0,1.0
2299,"Hell's Kitchen, Midtown Manhattan, Manhattan",3071,0,1.0
2300,"Tribeca, Downtown Manhattan, Manhattan",5500,1,1.0
2301,"Bushwick, Northern Brooklyn, Brooklyn",2750,0,1.0
2302,"Murray Hill, Midtown Manhattan, Manhattan",6495,2,2.0
2303,"Bushwick, Northern Brooklyn, Brooklyn",3850,2,1.0
2304,"Midtown East, Midtown Manhattan, Manhattan",3900,1,1.0
2305,"Financial District, Downtown Manhattan, Manhattan",2500,0,1.0
2306,"Tribeca, Downtown Manhattan, Manhattan",3295,0,1.0
2307,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3923,1,1.0
2308,"Upper East Side, Upper Manhattan, Manhattan",3380,1,1.0
2309,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",3200,1,1.0
2310,"Upper East Side, Upper Manhattan, Manhattan",3430,1,1.0
2311,"Upper West Side, Upper Manhattan, Manhattan",7800,3,3.0
2312,"Bushwick, Northern Brooklyn, Brooklyn",2899,1,1.0
2313,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",1795,0,1.0
2314,"NoLita, Downtown Manhattan, Manhattan",8750,2,1.0
2315,"Midtown East, Midtown Manhattan, Manhattan",2375,0,1.0
2316,"Financial District, Downtown Manhattan, Manhattan",5765,2,1.0
2317,"Financial District, Downtown Manhattan, Manhattan",6085,2,2.0
2318,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3415,1,1.0
2319,"Upper West Side, Upper Manhattan, Manhattan",14000,4,3.0
2320,"Hunters Point, Long Island City, Northwestern Queens, Queens",4100,1,1.0
2321,"Theater District, Midtown Manhattan, Manhattan",6250,2,1.0
2322,"Gramercy Park, Midtown Manhattan, Manhattan",2325,0,1.0
2323,"Upper East Side, Upper Manhattan, Manhattan",3000,1,1.0
2324,"East Harlem, Upper Manhattan, Manhattan",7025,2,2.0
2325,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",4255,1,1.0
2326,"Hell's Kitchen, Midtown Manhattan, Manhattan",5200,2,2.0
2327,"Financial District, Downtown Manhattan, Manhattan",4695,1,1.0
2328,"Upper East Side, Upper Manhattan, Manhattan",2001,0,1.0
2329,"Murray Hill, Midtown Manhattan, Manhattan",5495,1,1.0
2330,"Upper East Side, Upper Manhattan, Manhattan",3135,1,1.0
2331,"West Village, Downtown Manhattan, Manhattan",4395,1,1.0
2332,"Bushwick, Northern Brooklyn, Brooklyn",3250,2,1.0
2333,"Financial District, Downtown Manhattan, Manhattan",7992,3,2.0
2334,"East Village, Downtown Manhattan, Manhattan",2895,1,1.0
2335,"Bushwick, Northern Brooklyn, Brooklyn",2995,1,1.0
2336,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3445,1,1.0
2337,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3000,1,1.0
2338,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",2895,1,1.0
2339,"Battery Park City, Downtown Manhattan, Manhattan",4120,1,1.0
2340,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3941,4,2.0
2341,"Hell's Kitchen, Midtown Manhattan, Manhattan",2500,0,1.0
2342,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3277,1,1.0
2343,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1856,0,1.0
2344,"Chelsea, Midtown Manhattan, Manhattan",5985,2,2.0
2345,"NoLita, Downtown Manhattan, Manhattan",4595,2,1.0
2346,"Upper East Side, Upper Manhattan, Manhattan",3350,1,1.0
2347,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3050,0,1.0
2348,"Financial District, Downtown Manhattan, Manhattan",3822,1,1.0
2349,"Greenpoint, Northern Brooklyn, Brooklyn",2850,1,1.0
2350,"Chelsea, Midtown Manhattan, Manhattan",4029,1,1.0
2351,"Upper East Side, Upper Manhattan, Manhattan",5795,2,2.0
2352,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2895,1,1.0
2353,"Central Harlem, Upper Manhattan, Manhattan",2400,1,1.0
2354,"Chelsea, Midtown Manhattan, Manhattan",4099,3,1.0
2355,"Financial District, Downtown Manhattan, Manhattan",4400,1,2.0
2356,"Flatbush, Central Brooklyn, Brooklyn",2350,3,1.0
2357,"Central Harlem, Upper Manhattan, Manhattan",2400,1,1.0
2358,"Bushwick, Northern Brooklyn, Brooklyn",2850,1,1.0
2359,"Upper West Side, Upper Manhattan, Manhattan",3050,1,1.0
2360,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2704,1,1.0
2361,"Murray Hill, Midtown Manhattan, Manhattan",3495,2,1.0
2362,"Murray Hill, Midtown Manhattan, Manhattan",3495,2,1.0
2363,"Upper East Side, Upper Manhattan, Manhattan",2575,1,1.0
2364,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2000,1,1.0
2365,"Upper East Side, Upper Manhattan, Manhattan",5495,1,1.0
2366,"Hell's Kitchen, Midtown Manhattan, Manhattan",3895,1,1.0
2367,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3600,3,2.0
2368,"Bushwick, Northern Brooklyn, Brooklyn",2800,2,1.0
2369,"Upper West Side, Upper Manhattan, Manhattan",3100,2,1.0
2370,"Alphabet City, East Village, Downtown Manhattan, Manhattan",6395,3,2.0
2371,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2354,0,1.0
2372,"Hunters Point, Long Island City, Northwestern Queens, Queens",2515,1,1.0
2373,"Chelsea, Midtown Manhattan, Manhattan",3938,3,1.0
2374,"Hell's Kitchen, Midtown Manhattan, Manhattan",3850,1,1.0
2375,"Upper East Side, Upper Manhattan, Manhattan",3025,1,1.0
2376,"Hell's Kitchen, Midtown Manhattan, Manhattan",4275,2,2.0
2377,"Hell's Kitchen, Midtown Manhattan, Manhattan",3424,1,1.0
2378,"Tribeca, Downtown Manhattan, Manhattan",8490,2,2.0
2379,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",5995,2,2.0
2380,"Flatbush, Central Brooklyn, Brooklyn",2380,3,1.0
2381,"Bushwick, Northern Brooklyn, Brooklyn",2500,2,2.0
2382,"Midtown East, Midtown Manhattan, Manhattan",2300,0,1.0
2383,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2929,1,1.0
2384,"Astoria, Northwestern Queens, Queens",4200,2,1.0
2385,"Astoria, Northwestern Queens, Queens",3000,2,1.0
2386,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3795,0,1.0
2387,"Greenwich Village, Downtown Manhattan, Manhattan",4100,1,1.0
2388,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3775,1,1.0
2389,"Crown Heights, Central Brooklyn, Brooklyn",2400,1,1.0
2390,"Financial District, Downtown Manhattan, Manhattan",5546,1,2.0
2391,"Hell's Kitchen, Midtown Manhattan, Manhattan",3140,1,1.0
2392,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3000,1,1.0
2393,"East Harlem, Upper Manhattan, Manhattan",2100,1,1.0
2394,"Murray Hill, Midtown Manhattan, Manhattan",2775,0,1.0
2395,"Financial District, Downtown Manhattan, Manhattan",4842,1,1.0
2396,"Murray Hill, Midtown Manhattan, Manhattan",4280,1,1.0
2397,"Upper East Side, Upper Manhattan, Manhattan",3000,1,1.0
2398,"Flatbush, Central Brooklyn, Brooklyn",2400,2,1.0
2399,"Upper West Side, Upper Manhattan, Manhattan",5897,2,3.0
2400,"Inwood, Upper Manhattan, Manhattan",2095,1,1.0
2401,"Chelsea, Midtown Manhattan, Manhattan",5000,2,1.0
2402,"Financial District, Downtown Manhattan, Manhattan",2850,0,1.0
2403,"Central Harlem, Upper Manhattan, Manhattan",2500,2,1.0
2404,"Hell's Kitchen, Midtown Manhattan, Manhattan",2700,0,1.0
2405,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",5441,2,2.0
2406,"Hell's Kitchen, Midtown Manhattan, Manhattan",3702,1,1.0
2407,"Hell's Kitchen, Midtown Manhattan, Manhattan",3874,1,1.0
2408,"Chelsea, Midtown Manhattan, Manhattan",2600,0,1.0
2409,"West Village, Downtown Manhattan, Manhattan",6214,1,1.0
2410,"Bushwick, Northern Brooklyn, Brooklyn",2875,2,1.0
2411,"East Harlem, Upper Manhattan, Manhattan",2900,0,1.0
2412,"Financial District, Downtown Manhattan, Manhattan",3479,1,1.0
2413,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",2295,0,1.0
2414,"East Village, Downtown Manhattan, Manhattan",2700,0,1.0
2415,"Battery Park City, Downtown Manhattan, Manhattan",7395,2,1.0
2416,"Hunters Point, Long Island City, Northwestern Queens, Queens",3550,1,1.0
2417,"West Village, Downtown Manhattan, Manhattan",5295,2,1.0
2418,"Kips Bay, Midtown Manhattan, Manhattan",3425,1,1.0
2419,"Murray Hill, Midtown Manhattan, Manhattan",3300,1,1.0
2420,"Financial District, Downtown Manhattan, Manhattan",10144,3,3.0
2421,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2450,1,1.0
2422,"Murray Hill, Midtown Manhattan, Manhattan",2300,1,1.0
2423,"Upper West Side, Upper Manhattan, Manhattan",4350,2,1.0
2424,"Financial District, Downtown Manhattan, Manhattan",5595,2,2.0
2425,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",3400,1,1.0
2426,"West Village, Downtown Manhattan, Manhattan",3700,1,1.0
2427,"Central Harlem, Upper Manhattan, Manhattan",1950,1,1.0
2428,"Upper West Side, Upper Manhattan, Manhattan",2200,0,1.0
2429,"East Harlem, Upper Manhattan, Manhattan",2887,2,1.0
2430,"Financial District, Downtown Manhattan, Manhattan",2750,0,1.0
2431,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2150,1,1.0
2432,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3850,3,2.0
2433,"Bushwick, Northern Brooklyn, Brooklyn",3095,2,1.0
2434,"Hell's Kitchen, Midtown Manhattan, Manhattan",3791,1,1.0
2435,"West Village, Downtown Manhattan, Manhattan",6162,1,2.0
2436,"Chelsea, Midtown Manhattan, Manhattan",2350,0,1.0
2437,"Murray Hill, Midtown Manhattan, Manhattan",2850,1,1.0
2438,"Greenwich Village, Downtown Manhattan, Manhattan",3299,1,1.0
2439,"Upper West Side, Upper Manhattan, Manhattan",5700,2,2.0
2440,"Gramercy Park, Midtown Manhattan, Manhattan",4350,1,1.0
2441,"Alphabet City, East Village, Downtown Manhattan, Manhattan",3000,2,1.0
2442,"East Harlem, Upper Manhattan, Manhattan",2300,1,1.0
2443,"Upper West Side, Upper Manhattan, Manhattan",4590,2,2.0
2444,"Bushwick, Northern Brooklyn, Brooklyn",2300,0,1.0
2445,"Bushwick, Northern Brooklyn, Brooklyn",3800,3,2.0
2446,"Crown Heights, Central Brooklyn, Brooklyn",3600,2,2.0
2447,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2600,0,1.0
2448,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2745,1,1.0
2449,"Bushwick, Northern Brooklyn, Brooklyn",2900,1,1.0
2450,"Hell's Kitchen, Midtown Manhattan, Manhattan",2993,0,1.0
2451,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",2390,1,1.0
2452,"Murray Hill, Midtown Manhattan, Manhattan",2300,1,1.0
2453,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",916,0,1.0
2454,"Long Island City, Northwestern Queens, Queens",2750,0,1.0
2455,"Hell's Kitchen, Midtown Manhattan, Manhattan",4200,2,1.0
2456,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2800,3,1.0
2457,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3200,3,2.0
2458,"Flatiron District, Midtown Manhattan, Manhattan",4700,1,1.0
2459,"West Village, Downtown Manhattan, Manhattan",2475,0,1.0
2460,"Financial District, Downtown Manhattan, Manhattan",3565,0,1.0
2461,"Upper East Side, Upper Manhattan, Manhattan",3150,1,1.0
2462,"East Village, Downtown Manhattan, Manhattan",3150,0,1.0
2463,"Hell's Kitchen, Midtown Manhattan, Manhattan",1900,1,1.0
2464,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",5295,2,1.5
2465,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",4690,2,2.0
2466,"Theater District, Midtown Manhattan, Manhattan",5250,2,2.0
2467,"Hell's Kitchen, Midtown Manhattan, Manhattan",5718,4,2.0
2468,"Kips Bay, Midtown Manhattan, Manhattan",3571,2,1.0
2469,"Chelsea, Midtown Manhattan, Manhattan",2975,0,1.0
2470,"Financial District, Downtown Manhattan, Manhattan",3754,0,1.0
2471,"Upper West Side, Upper Manhattan, Manhattan",2175,0,1.0
2472,"Crown Heights, Central Brooklyn, Brooklyn",3200,2,2.0
2473,"East Village, Downtown Manhattan, Manhattan",5958,3,2.0
2474,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3600,1,1.0
2475,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2700,1,1.0
2476,"Bushwick, Northern Brooklyn, Brooklyn",2500,2,1.0
2477,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3200,1,1.0
2478,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3850,1,1.0
2479,"NoLita, Downtown Manhattan, Manhattan",3387,1,1.0
2480,"Upper West Side, Upper Manhattan, Manhattan",3195,1,1.0
2481,"Kips Bay, Midtown Manhattan, Manhattan",3550,2,1.0
2482,"Battery Park City, Downtown Manhattan, Manhattan",6500,2,2.0
2483,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",1925,1,1.0
2484,"Greenwich Village, Downtown Manhattan, Manhattan",5995,2,1.5
2485,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",5295,1,2.0
2486,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",6495,2,2.0
2487,"Hell's Kitchen, Midtown Manhattan, Manhattan",4695,3,2.0
2488,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",4500,2,1.0
2489,"West Village, Downtown Manhattan, Manhattan",23000,4,3.0
2490,"Theater District, Midtown Manhattan, Manhattan",3793,1,1.0
2491,"Bushwick, Northern Brooklyn, Brooklyn",3995,2,2.0
2492,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2150,1,1.0
2493,"Central Harlem, Upper Manhattan, Manhattan",2875,3,2.0
2494,"West Village, Downtown Manhattan, Manhattan",4485,0,1.0
2495,"Upper East Side, Upper Manhattan, Manhattan",2475,1,1.0
2496,"Murray Hill, Midtown Manhattan, Manhattan",3203,2,1.0
2497,"Astoria, Northwestern Queens, Queens",2450,2,1.0
2498,"Greenpoint, Northern Brooklyn, Brooklyn",4680,2,2.0
2499,"Upper East Side, Upper Manhattan, Manhattan",4200,1,1.0
2500,"East Village, Downtown Manhattan, Manhattan",6750,4,1.0
2501,"Murray Hill, Midtown Manhattan, Manhattan",2753,0,1.0
2502,"Chelsea, Midtown Manhattan, Manhattan",8143,3,2.0
2503,"NoLita, Downtown Manhattan, Manhattan",4028,2,1.0
2504,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3000,2,1.0
2505,"Bushwick, Northern Brooklyn, Brooklyn",2950,2,1.0
2506,"Hell's Kitchen, Midtown Manhattan, Manhattan",5079,2,2.0
2507,"Murray Hill, Midtown Manhattan, Manhattan",6784,3,2.0
2508,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0
2509,"Financial District, Downtown Manhattan, Manhattan",6000,2,2.0
2510,"East Village, Downtown Manhattan, Manhattan",6750,4,1.0
2511,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2200,3,1.0
2512,"Murray Hill, Midtown Manhattan, Manhattan",2750,0,1.0
2513,"Greenpoint, Northern Brooklyn, Brooklyn",5200,4,2.0
2514,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2285,0,1.0
2515,"Murray Hill, Midtown Manhattan, Manhattan",2675,0,1.0
2516,"Upper East Side, Upper Manhattan, Manhattan",2200,0,1.0
2517,"Hell's Kitchen, Midtown Manhattan, Manhattan",4354,1,1.0
2518,"East Harlem, Upper Manhattan, Manhattan",2250,2,1.0
2519,"Murray Hill, Midtown Manhattan, Manhattan",2150,0,1.0
2520,"Astoria, Northwestern Queens, Queens",2200,1,1.0
2521,"Hell's Kitchen, Midtown Manhattan, Manhattan",2300,1,1.0
2522,"Murray Hill, Midtown Manhattan, Manhattan",4625,1,1.0
2523,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3113,2,1.0
2524,"Financial District, Downtown Manhattan, Manhattan",3112,0,1.0
2525,"Gramercy Park, Midtown Manhattan, Manhattan",4750,3,1.0
2526,"West Village, Downtown Manhattan, Manhattan",2450,0,1.0
2527,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",2195,0,1.0
2528,"Central Harlem, Upper Manhattan, Manhattan",2400,1,1.0
2529,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2250,1,1.0
2530,"Upper East Side, Upper Manhattan, Manhattan",14990,4,3.0
2531,"Murray Hill, Midtown Manhattan, Manhattan",2978,2,1.0
2532,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",5530,3,1.0
2533,"Upper East Side, Upper Manhattan, Manhattan",3795,1,1.0
2534,"West Village, Downtown Manhattan, Manhattan",3475,0,1.0
2535,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",5295,2,2.0
2536,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",4300,2,1.0
2537,"Theater District, Midtown Manhattan, Manhattan",3900,1,1.0
2538,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2677,0,1.0
2539,"Upper East Side, Upper Manhattan, Manhattan",2695,2,1.0
2540,"Upper East Side, Upper Manhattan, Manhattan",4950,3,2.0
2541,"Inwood, Upper Manhattan, Manhattan",1650,0,1.0
2542,"Chelsea, Midtown Manhattan, Manhattan",3999,3,1.0
2543,"Battery Park City, Downtown Manhattan, Manhattan",7495,2,2.0
2544,"Upper West Side, Upper Manhattan, Manhattan",2825,0,1.0
2545,"Financial District, Downtown Manhattan, Manhattan",4200,1,1.0
2546,"Financial District, Downtown Manhattan, Manhattan",4950,1,2.0
2547,"Flatiron District, Midtown Manhattan, Manhattan",4895,1,1.0
2548,"Murray Hill, Midtown Manhattan, Manhattan",3250,0,1.0
2549,"Financial District, Downtown Manhattan, Manhattan",3479,1,1.0
2550,"Murray Hill, Midtown Manhattan, Manhattan",7350,3,2.0
2551,"Kips Bay, Midtown Manhattan, Manhattan",3595,1,1.0
2552,"Battery Park City, Downtown Manhattan, Manhattan",8195,2,2.0
2553,"Bushwick, Northern Brooklyn, Brooklyn",2979,2,1.0
2554,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2750,2,1.0
2555,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2450,2,1.0
2556,"Greenwich Village, Downtown Manhattan, Manhattan",4200,1,1.0
2557,"Theater District, Midtown Manhattan, Manhattan",3950,2,2.0
2558,"Crown Heights, Central Brooklyn, Brooklyn",1650,0,1.0
2559,"Upper West Side, Upper Manhattan, Manhattan",2500,0,1.0
2560,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3425,1,1.0
2561,"Hell's Kitchen, Midtown Manhattan, Manhattan",6665,2,2.0
2562,"Hell's Kitchen, Midtown Manhattan, Manhattan",2400,1,1.0
2563,"Battery Park City, Downtown Manhattan, Manhattan",3900,1,1.0
2564,"Greenwich Village, Downtown Manhattan, Manhattan",4100,1,1.0
2565,"Upper East Side, Upper Manhattan, Manhattan",3195,0,1.0
2566,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",11000,3,2.5
2567,"Murray Hill, Midtown Manhattan, Manhattan",2600,0,1.0
2568,"Central Harlem, Upper Manhattan, Manhattan",1945,0,1.0
2569,"Financial District, Downtown Manhattan, Manhattan",3250,0,1.0
2570,"Flatiron District, Midtown Manhattan, Manhattan",3895,1,1.0
2571,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",3300,0,1.0
2572,"Bushwick, Northern Brooklyn, Brooklyn",3195,2,1.0
2573,"Midtown East, Midtown Manhattan, Manhattan",4700,2,1.0
2574,"Crown Heights, Central Brooklyn, Brooklyn",3542,3,2.0
2575,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",6138,2,2.0
2576,"Central Harlem, Upper Manhattan, Manhattan",2130,0,1.0
2577,"Upper East Side, Upper Manhattan, Manhattan",5395,1,1.0
2578,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2723,1,1.0
2579,"West Village, Downtown Manhattan, Manhattan",5129,0,1.0
2580,"Financial District, Downtown Manhattan, Manhattan",8530,2,2.0
2581,"Financial District, Downtown Manhattan, Manhattan",18995,3,3.0
2582,"Upper West Side, Upper Manhattan, Manhattan",4490,2,2.0
2583,"Hell's Kitchen, Midtown Manhattan, Manhattan",3600,1,1.0
2584,"Hell's Kitchen, Midtown Manhattan, Manhattan",4590,2,1.0
2585,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3460,1,1.0
2586,"Tribeca, Downtown Manhattan, Manhattan",11072,3,3.0
2587,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",5400,2,2.0
2588,"Hell's Kitchen, Midtown Manhattan, Manhattan",5139,2,2.0
2589,"Lower East Side, Downtown Manhattan, Manhattan",9495,4,2.0
2590,"West Village, Downtown Manhattan, Manhattan",3690,1,1.0
2591,"Hell's Kitchen, Midtown Manhattan, Manhattan",4098,1,1.0
2592,"Theater District, Midtown Manhattan, Manhattan",6350,2,3.0
2593,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3500,2,1.0
2594,"Upper East Side, Upper Manhattan, Manhattan",20500,3,3.0
2595,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",2650,2,1.0
2596,"Gramercy Park, Midtown Manhattan, Manhattan",3549,1,1.0
2597,"West Village, Downtown Manhattan, Manhattan",22995,4,3.0
2598,"Financial District, Downtown Manhattan, Manhattan",3479,1,1.0
2599,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2250,1,1.0
2600,"Upper East Side, Upper Manhattan, Manhattan",2150,1,1.0
2601,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3995,2,1.0
2602,"Bushwick, Northern Brooklyn, Brooklyn",3000,2,2.0
2603,"Bushwick, Northern Brooklyn, Brooklyn",2499,2,1.0
2604,"East Village, Downtown Manhattan, Manhattan",5100,3,1.0
2605,"West Village, Downtown Manhattan, Manhattan",3995,1,1.0
2606,"Upper East Side, Upper Manhattan, Manhattan",2475,1,1.0
2607,"Battery Park City, Downtown Manhattan, Manhattan",3070,0,1.0
2608,"Murray Hill, Midtown Manhattan, Manhattan",2895,1,1.0
2609,"Hell's Kitchen, Midtown Manhattan, Manhattan",2900,1,1.0
2610,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3450,2,1.0
2611,"Upper West Side, Upper Manhattan, Manhattan",3550,1,1.0
2612,"West Village, Downtown Manhattan, Manhattan",6900,1,1.0
2613,"Long Island City, Northwestern Queens, Queens",2650,0,1.0
2614,"Bushwick, Northern Brooklyn, Brooklyn",2800,2,1.0
2615,"Chelsea, Midtown Manhattan, Manhattan",2350,0,1.0
2616,"Alphabet City, East Village, Downtown Manhattan, Manhattan",3750,2,1.0
2617,"Murray Hill, Midtown Manhattan, Manhattan",2800,1,1.0
2618,"Chelsea, Midtown Manhattan, Manhattan",3300,2,1.0
2619,"Chelsea, Midtown Manhattan, Manhattan",5950,1,1.0
2620,"Hell's Kitchen, Midtown Manhattan, Manhattan",4200,2,1.0
2621,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",4050,1,1.0
2622,"Gramercy Park, Midtown Manhattan, Manhattan",2850,0,1.0
2623,"Upper West Side, Upper Manhattan, Manhattan",3850,2,1.0
2624,"West Village, Downtown Manhattan, Manhattan",4434,1,1.0
2625,"Central Harlem, Upper Manhattan, Manhattan",2875,3,2.0
2626,"Lower East Side, Downtown Manhattan, Manhattan",3500,2,1.0
2627,"Lower East Side, Downtown Manhattan, Manhattan",4395,2,1.0
2628,"Crown Heights, Central Brooklyn, Brooklyn",8400,4,4.0
2629,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2350,1,1.0
2630,"Chelsea, Midtown Manhattan, Manhattan",4410,1,1.0
2631,"Chelsea, Midtown Manhattan, Manhattan",4424,1,1.0
2632,"Upper East Side, Upper Manhattan, Manhattan",2095,0,1.0
2633,"Upper West Side, Upper Manhattan, Manhattan",3099,1,1.0
2634,"Battery Park City, Downtown Manhattan, Manhattan",5316,2,2.0
2635,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",5995,2,2.0
2636,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",5450,2,2.0
2637,"East Harlem, Upper Manhattan, Manhattan",2000,2,1.0
2638,"Bushwick, Northern Brooklyn, Brooklyn",3941,2,1.0
2639,"Chelsea, Midtown Manhattan, Manhattan",4366,1,1.0
2640,"Hell's Kitchen, Midtown Manhattan, Manhattan",4995,2,2.0
2641,"Murray Hill, Midtown Manhattan, Manhattan",3892,1,1.0
